SCL,HASTC,Song Da Cao Cuong Joint Stock Company
SCR,HASTC,Sai Gon Thuong Tin Real Estate Joint Stock Company
SD1,HASTC,Song Da No 1 Joint Stock Company
SD2,HASTC,Song Da 2 Joint Stock Company
SD3,HASTC,Song Da 3 Joint Stock Company
SD4,HASTC,Song Da 4 Joint Stock Company
SD5,HASTC,Song Da No5 Joint – Stocks Company
SD6,HASTC,Songda 6 Joint Stock Company
SD7,HASTC,Songda 7 Joint Stock Company
SD8,HASTC,Song Da 8 Joint Stock Company
SD9,HASTC,Song Da No 9 Joint Stock Company
SDA,HASTC,Song Da International Manpower Supply And Trading Joint Stock Company
SDB,HASTC,Song Da 207 Joint Stock Company
SDC,HASTC,Song Da Consulting Joint Stock Company
SDD,HASTC,Song Da Investment and Construction Joint Stock Company
SDE,HASTC,Song Da Electrical Engineering Joint Stock Company
SDG,HASTC,Can Tho Sadico Joint Stock Corporation
SDH,HASTC,Song Da Infrastructure Construction Joint Stock Company
SDJ,HASTC,Song Da 25 Joint Stock Company
SDN,HASTC,DongNai Paint Corporation
SDP,HASTC,Song Da Trading and Transport joint stock Company
SDS,HASTC,SongDa Construction and Investment Joint Stock Company
SDT,HASTC,Song Da No 10 Joint Stock Company
SDU,HASTC,Song Da Urban Investment Construction And Development Joint Stock Company
SDY,HASTC,Song Da Yaly Cement Joint Stock Company
SEB,HASTC,Mien Trung Power Investment and Development Joint - Stock Company
SEC,HOSE,Gia Lai Cane Sugar Thermoelectricity Joint Stock Company
SED,HASTC,Phuong Nam Education Investment And Development Joint Stock Company
SEL,HASTC,Song Da 11 – Thang Long Joint Stock Company
SFC,HOSE,Saigon Fuel Company
SFI,HOSE,Sea And Air Freight International
SFN,HASTC,Saigon Fishing Net Joint Stock Company
SGC,HASTC,Sa Giang Import Export Corporation
SGD,HASTC,Educational Book Joint Stock Company in Ho Chi Minh City
SGH,HASTC,Saigon Hotel Corporation
SGT,HOSE,Sai Gon Telecommunication And Technologies Corporation
SHB,HASTC,SaiGon Ha noi Comercial Joinstock bank
